Block Id,Census Year,Clue Small Area,Commercial Accommodation,Common Area,Community Use,Educational Research,Entertainment Recreation Indoor,Equipment Installation,Hospital Clinic,House Townhouse,Institutional Accommodation,Manufacturing,Office,Park Reserve,Parking Commercial Covered,Parking Commercial Uncovered,Parking Private Covered,Parking Private Uncovered,Performances Conferences Ceremonies,Private Outdoor Space,Public Display Area,Residential Apartment,Retail Cars,Retail Shop,Retail Showroom,Retail Stall,Sports And Recreation Outdoor,Square Promenade,Storage,Student Accommodation,Total Jobs In Block,Transport,Transport Storage Uncovered,Unoccupied Under Construction,Unoccupied Under Demolition Condemned,Unoccupied Under Renovation,Unoccupied Undeveloped Site,Unoccupied Unused,Wholesale,Workshop Studio
710,2021,Melbourne (Remainder),,0,0,,75,0,,0,0,0,32,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,,234,0,0,0,0,0,0,0,0,0
729,2021,Southbank,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,92,0,0,0,0,0,,0,0,0
730,2021,Southbank,,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
733,2021,Southbank,,0,0,0,4,,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,,0,0
737,2021,Southbank,0,,0,,0,,0,0,0,0,128,0,0,0,,0,0,,0,,0,0,0,0,0,0,,0,357,0,0,0,0,0,0,,0,0
738,2021,Southbank,0,0,0,,,0,0,0,0,0,829,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,898,0,0,0,0,,0,,0,0
740,2021,Southbank,0,,0,0,,0,0,0,0,0,,0,0,0,0,,0,,0,0,,13,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0
741,2021,Southbank,0,0,0,0,,,,0,0,0,204,0,0,0,,,,0,,,0,,0,,0,,,0,437,0,0,0,0,0,0,0,0,0
748,2021,Southbank,,0,0,,23,0,,0,0,0,1327,0,,0,0,0,0,0,0,0,0,17,0,0,0,0,,0,1408,0,0,0,0,0,0,0,0,0
751,2021,Southbank,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,406,0,0,0,0,,0,0,0,0
753,2021,Southbank,,0,0,0,494,0,,0,0,0,5121,0,,0,0,0,102,0,0,,0,100,0,,0,,,0,6211,0,0,0,0,0,0,0,0,0
772,2021,Docklands,0,0,0,0,0,0,0,0,0,0,323,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,348,0,0,0,0,0,0,0,0,
776,2021,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,88,0,0,0,0,0,0,0,0,
779,2021,Port Melbourne,0,0,0,,0,,0,0,0,,812,0,0,0,,0,0,0,0,0,0,,0,0,0,0,122,0,1125,0,0,0,0,0,,0,0,
781,2021,Port Melbourne,0,0,0,0,,0,0,0,0,188,1019,0,0,0,,0,0,0,0,0,0,0,11,0,0,0,78,0,1306,0,0,0,0,0,0,0,0,5
783,2021,Docklands,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,150,0,,0,0,0,0,,0,0
784,2021,Port Melbourne,0,0,0,0,,0,0,0,0,0,895,0,0,0,0,,0,,0,0,0,,,0,0,0,108,0,1049,0,0,0,0,0,0,0,0,
785,2021,Port Melbourne,0,0,0,,,0,0,0,0,,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,136,0,,0,0,0,0,0,0,0
788,2021,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,0,0,,0,0
791,2021,Port Melbourne,0,0,0,,0,0,0,0,0,1147,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1365,0,,0,0,0,0,0,0,26
795,2021,Port Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,,862,0,0,0,0,,0,0
806,2021,Southbank,,0,0,,393,0,0,0,0,0,,0,,0,0,0,,,0,0,0,79,0,0,0,0,,0,782,0,0,0,0,0,0,0,0,0
